# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: bayes.tsv
# keterbandingan: BitExact
# Teorema Bayes dua hipotesis: probabilitas bukti, posterior, rasio kemungkinan
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: prior_hex	likelihood_h_hex	likelihood_not_h_hex	evidence_hex	posterior_hex	likelihood_ratio_hex
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3f50624dd2f1a9fc	3f50624dd2f1a9fc	3f50624dd2f1a9fc	3ff0000000000000
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3f947ae147ae147b	3f9475e6362a5e79	3f0a3d448ed480ae	3fa999999999999a
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fb999999999999a	3fb9931ca7d6733f	3ee4fe07875b133b	3f847ae147ae147b
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fc999999999999a	3fc99314445aa2e4	3ed4fe0e6a1255c5	3f747ae147ae147b
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fd999999999999a	3fd99310129cbab6	3ec4fe11db6fa8ae	3f647ae147ae147b
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fe0000000000000	3fdff7d30ad46f58	3ec0cb42095e209a	3f60624dd2f1a9fc
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fe8000000000000	3fe7f9dd3bafd977	3eb664590730c74a	3f55d867c3ece2a5
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3feccccccccccccd	3fecc56f75d9a0f1	3eb2a8f520f6e862	3f523456789abcdf
3f50624dd2f1a9fc	3f50624dd2f1a9fc	3fefae147ae147ae	3fefa5fa658c4bd3	3eb0f6b0694a2592	3f508cabb37565e2
3f50624dd2f1a9fc	3f947ae147ae147b	3f50624dd2f1a9fc	3f50b1feeb2d0a25	3f94191f67411155	4034000000000000
3f50624dd2f1a9fc	3f947ae147ae147b	3f947ae147ae147b	3f947ae147ae147b	3f50624dd2f1a9fc	3ff0000000000000
3f50624dd2f1a9fc	3f947ae147ae147b	3fb999999999999a	3fb9945b6c3760c0	3f2a3c4268881898	3fc9999999999999
3f50624dd2f1a9fc	3f947ae147ae147b	3fc999999999999a	3fc993b3a68b19a4	3f1a3cee7fdbec39	3fb9999999999999
3f50624dd2f1a9fc	3f947ae147ae147b	3fd999999999999a	3fd9935fc3b4f617	3f0a3d448ed480b0	3fa9999999999999
3f50624dd2f1a9fc	3f947ae147ae147b	3fe0000000000000	3fdff822bbecaab9	3f04fdde376e5ecb	3fa47ae147ae147b
3f50624dd2f1a9fc	3f947ae147ae147b	3fe8000000000000	3fe7fa05143bf727	3efbfd40c504a9ec	3f9b4e81b4e81b4f
3f50624dd2f1a9fc	3f947ae147ae147b	3feccccccccccccd	3fecc5974e65bea1	3ef753121bbe4f0a	3f96c16c16c16c17
3f50624dd2f1a9fc	3f947ae147ae147b	3fefae147ae147ae	3fefa6223e186983	3ef53441d154cc65	3f94afd6a052bf5b
3f50624dd2f1a9fc	3fb999999999999a	3f50624dd2f1a9fc	3f52018a43bb40b4	3fb74b3d4351c2f8	4059000000000000
3f50624dd2f1a9fc	3fb999999999999a	3f947ae147ae147b	3f948fd9fd36f7e4	3f7465fdf5cd0105	4014000000000000
