# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: certainty.tsv
# keterbandingan: BitExact
# Certainty factor MYCIN: kombinasi paralel, berantai, premis AND dan OR
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: op	a_hex	b_hex	result_hex
parallel	bff0000000000000	bff0000000000000	bff0000000000000
sequential	bff0000000000000	bff0000000000000	8000000000000000
and	bff0000000000000	bff0000000000000	bff0000000000000
or	bff0000000000000	bff0000000000000	bff0000000000000
parallel	bff0000000000000	bfed70a3d70a3d71	bff0000000000000
sequential	bff0000000000000	bfed70a3d70a3d71	8000000000000000
and	bff0000000000000	bfed70a3d70a3d71	bff0000000000000
or	bff0000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
parallel	bff0000000000000	bfe8000000000000	bff0000000000000
sequential	bff0000000000000	bfe8000000000000	8000000000000000
and	bff0000000000000	bfe8000000000000	bff0000000000000
or	bff0000000000000	bfe8000000000000	bfe8000000000000
parallel	bff0000000000000	bfe0000000000000	bff0000000000000
sequential	bff0000000000000	bfe0000000000000	8000000000000000
and	bff0000000000000	bfe0000000000000	bff0000000000000
or	bff0000000000000	bfe0000000000000	bfe0000000000000
parallel	bff0000000000000	bfd3333333333333	bff0000000000000
sequential	bff0000000000000	bfd3333333333333	8000000000000000
and	bff0000000000000	bfd3333333333333	bff0000000000000
or	bff0000000000000	bfd3333333333333	bfd3333333333333
parallel	bff0000000000000	bf847ae147ae147b	bff0000000000000
sequential	bff0000000000000	bf847ae147ae147b	8000000000000000
and	bff0000000000000	bf847ae147ae147b	bff0000000000000
or	bff0000000000000	bf847ae147ae147b	bf847ae147ae147b
parallel	bff0000000000000	0000000000000000	bff0000000000000
sequential	bff0000000000000	0000000000000000	8000000000000000
and	bff0000000000000	0000000000000000	bff0000000000000
or	bff0000000000000	0000000000000000	0000000000000000
parallel	bff0000000000000	3f847ae147ae147b	bff0000000000000
sequential	bff0000000000000	3f847ae147ae147b	bf847ae147ae147b
and	bff0000000000000	3f847ae147ae147b	bff0000000000000
or	bff0000000000000	3f847ae147ae147b	3f847ae147ae147b
parallel	bff0000000000000	3fd3333333333333	bff0000000000000
sequential	bff0000000000000	3fd3333333333333	bfd3333333333333
and	bff0000000000000	3fd3333333333333	bff0000000000000
or	bff0000000000000	3fd3333333333333	3fd3333333333333
parallel	bff0000000000000	3fe0000000000000	bff0000000000000
sequential	bff0000000000000	3fe0000000000000	bfe0000000000000
and	bff0000000000000	3fe0000000000000	bff0000000000000
or	bff0000000000000	3fe0000000000000	3fe0000000000000
parallel	bff0000000000000	3fe947ae147ae148	bff0000000000000
sequential	bff0000000000000	3fe947ae147ae148	bfe947ae147ae148
and	bff0000000000000	3fe947ae147ae148	bff0000000000000
or	bff0000000000000	3fe947ae147ae148	3fe947ae147ae148
parallel	bff0000000000000	3fed70a3d70a3d71	bff0000000000000
sequential	bff0000000000000	3fed70a3d70a3d71	bfed70a3d70a3d71
and	bff0000000000000	3fed70a3d70a3d71	bff0000000000000
or	bff0000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bff0000000000000	3ff0000000000000	0000000000000000
sequential	bff0000000000000	3ff0000000000000	bff0000000000000
and	bff0000000000000	3ff0000000000000	bff0000000000000
or	bff0000000000000	3ff0000000000000	3ff0000000000000
parallel	bfed70a3d70a3d71	bff0000000000000	bff0000000000000
sequential	bfed70a3d70a3d71	bff0000000000000	8000000000000000
and	bfed70a3d70a3d71	bff0000000000000	bff0000000000000
or	bfed70a3d70a3d71	bff0000000000000	bfed70a3d70a3d71
parallel	bfed70a3d70a3d71	bfed70a3d70a3d71	bfefcb923a29c77a
sequential	bfed70a3d70a3d71	bfed70a3d70a3d71	8000000000000000
and	bfed70a3d70a3d71	bfed70a3d70a3d71	bfed70a3d70a3d71
or	bfed70a3d70a3d71	bfed70a3d70a3d71	bfed70a3d70a3d71
parallel	bfed70a3d70a3d71	bfe8000000000000	bfef5c28f5c28f5c
sequential	bfed70a3d70a3d71	bfe8000000000000	8000000000000000
and	bfed70a3d70a3d71	bfe8000000000000	bfed70a3d70a3d71
or	bfed70a3d70a3d71	bfe8000000000000	bfe8000000000000
parallel	bfed70a3d70a3d71	bfe0000000000000	bfeeb851eb851eb8
sequential	bfed70a3d70a3d71	bfe0000000000000	8000000000000000
and	bfed70a3d70a3d71	bfe0000000000000	bfed70a3d70a3d71
or	bfed70a3d70a3d71	bfe0000000000000	bfe0000000000000
parallel	bfed70a3d70a3d71	bfd3333333333333	bfee353f7ced9169
sequential	bfed70a3d70a3d71	bfd3333333333333	8000000000000000
and	bfed70a3d70a3d71	bfd3333333333333	bfed70a3d70a3d71
or	bfed70a3d70a3d71	bfd3333333333333	bfd3333333333333
parallel	bfed70a3d70a3d71	bf847ae147ae147b	bfed77318fc50482
sequential	bfed70a3d70a3d71	bf847ae147ae147b	8000000000000000
and	bfed70a3d70a3d71	bf847ae147ae147b	bfed70a3d70a3d71
or	bfed70a3d70a3d71	bf847ae147ae147b	bf847ae147ae147b
parallel	bfed70a3d70a3d71	0000000000000000	bfed70a3d70a3d71
sequential	bfed70a3d70a3d71	0000000000000000	8000000000000000
and	bfed70a3d70a3d71	0000000000000000	bfed70a3d70a3d71
or	bfed70a3d70a3d71	0000000000000000	0000000000000000
parallel	bfed70a3d70a3d71	3f847ae147ae147b	bfed6a052bf5a815
sequential	bfed70a3d70a3d71	3f847ae147ae147b	bf82d77318fc5048
and	bfed70a3d70a3d71	3f847ae147ae147b	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3f847ae147ae147b	3f847ae147ae147b
parallel	bfed70a3d70a3d71	3fd3333333333333	bfec57c57c57c57e
sequential	bfed70a3d70a3d71	3fd3333333333333	bfd1a9fbe76c8b44
and	bfed70a3d70a3d71	3fd3333333333333	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3fd3333333333333	3fd3333333333333
parallel	bfed70a3d70a3d71	3fe0000000000000	bfeae147ae147ae2
sequential	bfed70a3d70a3d71	3fe0000000000000	bfdd70a3d70a3d71
and	bfed70a3d70a3d71	3fe0000000000000	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3fe0000000000000	3fe0000000000000
parallel	bfed70a3d70a3d71	3fe947ae147ae148	bfe3cf3cf3cf3cf5
sequential	bfed70a3d70a3d71	3fe947ae147ae148	bfe741f212d7731a
and	bfed70a3d70a3d71	3fe947ae147ae148	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3fe947ae147ae148	3fe947ae147ae148
parallel	bfed70a3d70a3d71	3fed70a3d70a3d71	0000000000000000
sequential	bfed70a3d70a3d71	3fed70a3d70a3d71	bfeb15b573eab368
and	bfed70a3d70a3d71	3fed70a3d70a3d71	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bfed70a3d70a3d71	3ff0000000000000	3ff0000000000000
sequential	bfed70a3d70a3d71	3ff0000000000000	bfed70a3d70a3d71
and	bfed70a3d70a3d71	3ff0000000000000	bfed70a3d70a3d71
or	bfed70a3d70a3d71	3ff0000000000000	3ff0000000000000
parallel	bfe8000000000000	bff0000000000000	bff0000000000000
sequential	bfe8000000000000	bff0000000000000	8000000000000000
and	bfe8000000000000	bff0000000000000	bff0000000000000
or	bfe8000000000000	bff0000000000000	bfe8000000000000
parallel	bfe8000000000000	bfed70a3d70a3d71	bfef5c28f5c28f5c
sequential	bfe8000000000000	bfed70a3d70a3d71	8000000000000000
and	bfe8000000000000	bfed70a3d70a3d71	bfed70a3d70a3d71
or	bfe8000000000000	bfed70a3d70a3d71	bfe8000000000000
parallel	bfe8000000000000	bfe8000000000000	bfee000000000000
sequential	bfe8000000000000	bfe8000000000000	8000000000000000
and	bfe8000000000000	bfe8000000000000	bfe8000000000000
or	bfe8000000000000	bfe8000000000000	bfe8000000000000
parallel	bfe8000000000000	bfe0000000000000	bfec000000000000
sequential	bfe8000000000000	bfe0000000000000	8000000000000000
and	bfe8000000000000	bfe0000000000000	bfe8000000000000
or	bfe8000000000000	bfe0000000000000	bfe0000000000000
parallel	bfe8000000000000	bfd3333333333333	bfea666666666666
sequential	bfe8000000000000	bfd3333333333333	8000000000000000
and	bfe8000000000000	bfd3333333333333	bfe8000000000000
or	bfe8000000000000	bfd3333333333333	bfd3333333333333
parallel	bfe8000000000000	bf847ae147ae147b	bfe8147ae147ae14
sequential	bfe8000000000000	bf847ae147ae147b	8000000000000000
and	bfe8000000000000	bf847ae147ae147b	bfe8000000000000
or	bfe8000000000000	bf847ae147ae147b	bf847ae147ae147b
parallel	bfe8000000000000	0000000000000000	bfe8000000000000
sequential	bfe8000000000000	0000000000000000	8000000000000000
and	bfe8000000000000	0000000000000000	bfe8000000000000
or	bfe8000000000000	0000000000000000	0000000000000000
parallel	bfe8000000000000	3f847ae147ae147b	bfe7eb50295fad41
sequential	bfe8000000000000	3f847ae147ae147b	bf7eb851eb851eb8
and	bfe8000000000000	3f847ae147ae147b	bfe8000000000000
or	bfe8000000000000	3f847ae147ae147b	3f847ae147ae147b
parallel	bfe8000000000000	3fd3333333333333	bfe4924924924925
sequential	bfe8000000000000	3fd3333333333333	bfcccccccccccccc
and	bfe8000000000000	3fd3333333333333	bfe8000000000000
or	bfe8000000000000	3fd3333333333333	3fd3333333333333
parallel	bfe8000000000000	3fe0000000000000	bfe0000000000000
sequential	bfe8000000000000	3fe0000000000000	bfd8000000000000
and	bfe8000000000000	3fe0000000000000	bfe8000000000000
or	bfe8000000000000	3fe0000000000000	3fe0000000000000
parallel	bfe8000000000000	3fe947ae147ae148	3fc47ae147ae1480
sequential	bfe8000000000000	3fe947ae147ae148	bfe2f5c28f5c28f6
and	bfe8000000000000	3fe947ae147ae148	bfe8000000000000
or	bfe8000000000000	3fe947ae147ae148	3fe947ae147ae148
parallel	bfe8000000000000	3fed70a3d70a3d71	3fe5c28f5c28f5c4
sequential	bfe8000000000000	3fed70a3d70a3d71	bfe6147ae147ae15
and	bfe8000000000000	3fed70a3d70a3d71	bfe8000000000000
or	bfe8000000000000	3fed70a3d70a3d71	3fed70a3d70a3d71
parallel	bfe8000000000000	3ff0000000000000	3ff0000000000000
sequential	bfe8000000000000	3ff0000000000000	bfe8000000000000
and	bfe8000000000000	3ff0000000000000	bfe8000000000000
or	bfe8000000000000	3ff0000000000000	3ff0000000000000
parallel	bfe0000000000000	bff0000000000000	bff0000000000000
sequential	bfe0000000000000	bff0000000000000	8000000000000000
and	bfe0000000000000	bff0000000000000	bff0000000000000
