# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: fuzzy_linear.tsv
# keterbandingan: BitExact
# Fungsi keanggotaan segitiga dan trapesium, seluruhnya aritmetika dasar
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: shape	p1_hex	p2_hex	p3_hex	p4_hex	x_hex	degree_hex
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c010000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c010000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c010000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c010000000000000	0000000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c010000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c010000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c010000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c010000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00e000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00e000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c00e000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c00e000000000000	0000000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c00e000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c00e000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c00e000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c00e000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00c000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00c000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c00c000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c00c000000000000	0000000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c00c000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c00c000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c00c000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c00c000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00a000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c00a000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c00a000000000000	0000000000000000
triangular	c008000000000000	3ff8000000000000	401c000000000000	7ff8000000000000	c00a000000000000	0000000000000000
trapezoidal	0000000000000000	4000000000000000	4020000000000000	4024000000000000	c00a000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4000000000000000	4014000000000000	c00a000000000000	0000000000000000
trapezoidal	4014000000000000	4020000000000000	4024000000000000	4024000000000000	c00a000000000000	0000000000000000
trapezoidal	0000000000000000	0000000000000000	4014000000000000	4014000000000000	c00a000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4024000000000000	7ff8000000000000	c008000000000000	0000000000000000
triangular	4014000000000000	4014000000000000	4024000000000000	7ff8000000000000	c008000000000000	0000000000000000
triangular	0000000000000000	4014000000000000	4014000000000000	7ff8000000000000	c008000000000000	0000000000000000
