# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: fuzzy_transcendental.tsv
# keterbandingan: NearlyEqual(4)
# Keanggotaan Gauss dan sigmoid; memakai exp, yang tidak diwajibkan IEEE-754 tepat
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: shape	p1_hex	p2_hex	x_hex	degree_hex
gaussian	4014000000000000	4000000000000000	c018000000000000	3e921dd72e8b8a27
gaussian	0000000000000000	3ff0000000000000	c018000000000000	3e505a628c699fa1
gaussian	c000000000000000	3fe0000000000000	c018000000000000	3d0c8464f7616468
sigmoid	4000000000000000	4014000000000000	c018000000000000	3df32b48befa8660
sigmoid	bff8000000000000	0000000000000000	c018000000000000	3feffefd390a9cc1
sigmoid	3fe0000000000000	4008000000000000	c018000000000000	3f8680527a405c3b
gaussian	4014000000000000	4000000000000000	c016000000000000	3eb15caa3cf88f3e
gaussian	0000000000000000	3ff0000000000000	c016000000000000	3e921dd72e8b8a27
gaussian	c000000000000000	3fe0000000000000	c016000000000000	3db92d07d6f15a44
sigmoid	4000000000000000	4014000000000000	c016000000000000	3e0a0db0d088dad8
sigmoid	bff8000000000000	0000000000000000	c016000000000000	3feffddc3e83e2f0
sigmoid	3fe0000000000000	4008000000000000	c016000000000000	3f8ccd6411b606fa
gaussian	4014000000000000	4000000000000000	c014000000000000	3ecf42ed3f68e690
gaussian	0000000000000000	3ff0000000000000	c014000000000000	3ecf42ed3f68e690
gaussian	c000000000000000	3fe0000000000000	c014000000000000	3e505a628c699fa1
sigmoid	4000000000000000	4014000000000000	c014000000000000	3e21b4865556b5d5
sigmoid	bff8000000000000	0000000000000000	c014000000000000	3feffb78bd3aa3b9
sigmoid	3fe0000000000000	4008000000000000	c014000000000000	3f926afa1e43c2c3
gaussian	4014000000000000	4000000000000000	c012000000000000	3eea70635783271b
gaussian	0000000000000000	3ff0000000000000	c012000000000000	3f05017922d4b0f7
gaussian	c000000000000000	3fe0000000000000	c012000000000000	3ecf42ed3f68e690
sigmoid	4000000000000000	4014000000000000	c012000000000000	3e381056fce94618
sigmoid	bff8000000000000	0000000000000000	c012000000000000	3feff66b5bf51894
sigmoid	3fe0000000000000	4008000000000000	c012000000000000	3f978761313f225a
gaussian	4014000000000000	4000000000000000	c010000000000000	3f05017922d4b0f7
gaussian	0000000000000000	3ff0000000000000	c010000000000000	3f35fc21041027ad
gaussian	c000000000000000	3fe0000000000000	c010000000000000	3f35fc21041027ad
sigmoid	4000000000000000	4014000000000000	c010000000000000	3e505a62883beeb6
sigmoid	bff8000000000000	0000000000000000	c010000000000000	3fefebbe888d0581
sigmoid	3fe0000000000000	4008000000000000	c010000000000000	3f9e040681ccad94
gaussian	4014000000000000	4000000000000000	c00c000000000000	3f1f5b15b1510d8f
gaussian	0000000000000000	3ff0000000000000	c00c000000000000	3f61eb805a03296c
gaussian	c000000000000000	3fe0000000000000	c00c000000000000	3f86c0504695c417
sigmoid	4000000000000000	4014000000000000	c00c000000000000	3e6639e307ea67b0
sigmoid	bff8000000000000	0000000000000000	c00c000000000000	3fefd53c9a5baf5f
sigmoid	3fe0000000000000	4008000000000000	c00c000000000000	3fa31c8280cf1c3d
gaussian	4014000000000000	4000000000000000	c008000000000000	3f35fc21041027ad
gaussian	0000000000000000	3ff0000000000000	c008000000000000	3f86c0504695c417
gaussian	c000000000000000	3fe0000000000000	c008000000000000	3fc152aaa3bf81cc
sigmoid	4000000000000000	4014000000000000	c008000000000000	3e7e355b81e5bc48
sigmoid	bff8000000000000	0000000000000000	c008000000000000	3fefa5feb616fe8f
sigmoid	3fe0000000000000	4008000000000000	c008000000000000	3fa848343c905445
gaussian	4014000000000000	4000000000000000	c004000000000000	3f4cf6128ab46776
gaussian	0000000000000000	3ff0000000000000	c004000000000000	3fa67ee6d9ff847c
gaussian	c000000000000000	3fe0000000000000	c004000000000000	3fe368b2fc6f960a
sigmoid	4000000000000000	4014000000000000	c004000000000000	3e94875c38cc6b4a
sigmoid	bff8000000000000	0000000000000000	c004000000000000	3fef43c4f67606ed
sigmoid	3fe0000000000000	4008000000000000	c004000000000000	3faec3ad6ad8dc43
gaussian	4014000000000000	4000000000000000	c000000000000000	3f61eb805a03296c
gaussian	0000000000000000	3ff0000000000000	c000000000000000	3fc152aaa3bf81cc
gaussian	c000000000000000	3fe0000000000000	c000000000000000	3ff0000000000000
sigmoid	4000000000000000	4014000000000000	c000000000000000	3eabe6c578712971
sigmoid	bff8000000000000	0000000000000000	c000000000000000	3fee7b7cbc36fabd
sigmoid	3fe0000000000000	4008000000000000	c000000000000000	3fb36b7112534847
gaussian	4014000000000000	4000000000000000	bff8000000000000	3f74d5215032c158
gaussian	0000000000000000	3ff0000000000000	bff8000000000000	3fd4c71b2477ab20
gaussian	c000000000000000	3fe0000000000000	bff8000000000000	3fe368b2fc6f960a
sigmoid	4000000000000000	4014000000000000	bff8000000000000	3ec2f6026c8e333c
sigmoid	bff8000000000000	0000000000000000	bff8000000000000	3fecf2e5add226b5
sigmoid	3fe0000000000000	4008000000000000	bff8000000000000	3fb868d2916eca5b
gaussian	4014000000000000	4000000000000000	bff0000000000000	3f86c0504695c417
gaussian	0000000000000000	3ff0000000000000	bff0000000000000	3fe368b2fc6f960a
gaussian	c000000000000000	3fe0000000000000	bff0000000000000	3fc152aaa3bf81cc
sigmoid	4000000000000000	4014000000000000	bff0000000000000	3ed9c541dac42246
sigmoid	bff8000000000000	0000000000000000	bff0000000000000	3fea2991f2a97914
sigmoid	3fe0000000000000	4008000000000000	bff0000000000000	3fbe84152bac31ae
gaussian	4014000000000000	4000000000000000	bfe0000000000000	3f97575b95bca50f
gaussian	0000000000000000	3ff0000000000000	bfe0000000000000	3fec3d6a24ed8222
gaussian	c000000000000000	3fe0000000000000	bfe0000000000000	3f86c0504695c417
sigmoid	4000000000000000	4014000000000000	bfe0000000000000	3ef18340f85ba390
sigmoid	bff8000000000000	0000000000000000	bfe0000000000000	3fe5bbd4f7a323ec
sigmoid	3fe0000000000000	4008000000000000	bfe0000000000000	3fc2f335e8e7bfd6
gaussian	4014000000000000	4000000000000000	0000000000000000	3fa67ee6d9ff847c
gaussian	0000000000000000	3ff0000000000000	0000000000000000	3ff0000000000000
gaussian	c000000000000000	3fe0000000000000	0000000000000000	3f35fc21041027ad
sigmoid	4000000000000000	4014000000000000	0000000000000000	3f07cd32e41dd960
sigmoid	bff8000000000000	0000000000000000	0000000000000000	3fe0000000000000
sigmoid	3fe0000000000000	4008000000000000	0000000000000000	3fc759b8355a1bb0
gaussian	4014000000000000	4000000000000000	3fe0000000000000	3fb45e031007d65f
gaussian	0000000000000000	3ff0000000000000	3fe0000000000000	3fec3d6a24ed8222
gaussian	c000000000000000	3fe0000000000000	3fe0000000000000	3ecf42ed3f68e690
sigmoid	4000000000000000	4014000000000000	3fe0000000000000	3f202c6f5633e446
sigmoid	bff8000000000000	0000000000000000	3fe0000000000000	3fd4885610b9b828
sigmoid	3fe0000000000000	4008000000000000	3fe0000000000000	3fcc81702a88e0d5
gaussian	4014000000000000	4000000000000000	3ff0000000000000	3fc152aaa3bf81cc
gaussian	0000000000000000	3ff0000000000000	3ff0000000000000	3fe368b2fc6f960a
gaussian	c000000000000000	3fe0000000000000	3ff0000000000000	3e505a628c699fa1
sigmoid	4000000000000000	4014000000000000	3ff0000000000000	3f35fa3dd7d2f7a6
sigmoid	bff8000000000000	0000000000000000	3ff0000000000000	3fc759b8355a1bb0
sigmoid	3fe0000000000000	4008000000000000	3ff0000000000000	3fd136561454ba86
gaussian	4014000000000000	4000000000000000	3ff8000000000000	3fcbae93b5663055
gaussian	0000000000000000	3ff0000000000000	3ff8000000000000	3fd4c71b2477ab20
gaussian	c000000000000000	3fe0000000000000	3ff8000000000000	3db92d07d6f15a44
sigmoid	4000000000000000	4014000000000000	3ff8000000000000	3f4dda738adf1189
sigmoid	bff8000000000000	0000000000000000	3ff8000000000000	3fb868d2916eca5b
sigmoid	3fe0000000000000	4008000000000000	3ff8000000000000	3fd4885610b9b828
gaussian	4014000000000000	4000000000000000	4000000000000000	3fd4c71b2477ab20
gaussian	0000000000000000	3ff0000000000000	4000000000000000	3fc152aaa3bf81cc
gaussian	c000000000000000	3fe0000000000000	4000000000000000	3d0c8464f7616468
sigmoid	4000000000000000	4014000000000000	4000000000000000	3f64417772fa800f
sigmoid	bff8000000000000	0000000000000000	4000000000000000	3fa848343c905445
sigmoid	3fe0000000000000	4008000000000000	4000000000000000	3fd829a0565978de
gaussian	4014000000000000	4000000000000000	4004000000000000	3fdd4d244cf4ea9e
gaussian	0000000000000000	3ff0000000000000	4004000000000000	3fa67ee6d9ff847c
gaussian	c000000000000000	3fe0000000000000	4004000000000000	3c47c432199df55a
sigmoid	4000000000000000	4014000000000000	4004000000000000	3f7b69f67d638f8e
sigmoid	bff8000000000000	0000000000000000	4004000000000000	3f978761313f225a
sigmoid	3fe0000000000000	4008000000000000	4004000000000000	3fdc054cda8768fa
