# ai-atlas vektor uji lintas bahasa — .Deckyx
# berkas: ml_exact.tsv
# keterbandingan: BitExact
# Ukuran jarak dan ketakmurnian Gini; hanya memakai aritmetika dasar dan akar kuadrat
# seluruh pecahan ditulis sebagai 16 digit heksadesimal pola bit IEEE-754
# kolom: op	arg1	arg2	arg3	arg4	result_hex
euclidean	0000000000000000	0000000000000000	4008000000000000	4010000000000000	4014000000000000
manhattan	0000000000000000	0000000000000000	4008000000000000	4010000000000000	401c000000000000
chebyshev	0000000000000000	0000000000000000	4008000000000000	4010000000000000	4010000000000000
euclidean	3ff8000000000000	c002000000000000	bfe0000000000000	400e000000000000	40194c583ada5b53
manhattan	3ff8000000000000	c002000000000000	bfe0000000000000	400e000000000000	4020000000000000
chebyshev	3ff8000000000000	c002000000000000	bfe0000000000000	400e000000000000	4018000000000000
euclidean	4197d78400000000	3ff0000000000000	3ff0000000000000	4197d78400000000	41a0dbd655a56cd5
manhattan	4197d78400000000	3ff0000000000000	3ff0000000000000	4197d78400000000	41a7d783fc000000
chebyshev	4197d78400000000	3ff0000000000000	3ff0000000000000	4197d78400000000	4197d783fc000000
euclidean	3fb999999999999a	3fc999999999999a	3fd3333333333333	3fd999999999999a	3fd21a1851ff630a
manhattan	3fb999999999999a	3fc999999999999a	3fd3333333333333	3fd999999999999a	3fd999999999999a
chebyshev	3fb999999999999a	3fc999999999999a	3fd3333333333333	3fd999999999999a	3fc999999999999a
gini	A				0000000000000000
gini	A,B				3fe0000000000000
gini	A,A,B				3fdc71c71c71c71c
gini	A,A,A,B				3fd8000000000000
gini	A,B,C				3fe5555555555556
gini	A,A,B,B,C,C				3fe5555555555556
